image_id,file_name,label,category_id,image_url,local_path,readable_label
FL-16_03_07_2016_FL-16_0112146.JPG,part1/sub190/FL-16_03_07_2016_FL-16_0112146.JPG,sus scrofa,62,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part1/sub190/FL-16_03_07_2016_FL-16_0112146.JPG,/Users/mihnea/Desktop/Proiecte personale/wildlife-camera-trap-classification/data/raw/images/part1/sub190/FL-16_03_07_2016_FL-16_0112146.JPG,wild_boar
CA-24_08_12_2015_CA-24_0009029.jpg,part0/sub066/CA-24_08_12_2015_CA-24_0009029.jpg,sus scrofa,62,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub066/CA-24_08_12_2015_CA-24_0009029.jpg,/Users/mihnea/Desktop/Proiecte personale/wildlife-camera-trap-classification/data/raw/images/part0/sub066/CA-24_08_12_2015_CA-24_0009029.jpg,wild_boar
2016_Unit028_SWTB009_img2060.jpg,part0/sub025/2016_Unit028_SWTB009_img2060.jpg,cervus elaphus,10,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub025/2016_Unit028_SWTB009_img2060.jpg,/Users/mihnea/Desktop/Proiecte personale/wildlife-camera-trap-classification/data/raw/images/part0/sub025/2016_Unit028_SWTB009_img2060.jpg,red_deer
2014_Unit97_Ivan093_img1677.jpg,part0/sub017/2014_Unit97_Ivan093_img1677.jpg,odocoileus hemionus,46,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub017/2014_Unit97_Ivan093_img1677.jpg,/Users/mihnea/Desktop/Proiecte personale/wildlife-camera-trap-classification/data/raw/images/part0/sub017/2014_Unit97_Ivan093_img1677.jpg,mule_deer
FL-37_06_03_2016_FL-37_0014913.JPG,part2/sub278/FL-37_06_03_2016_FL-37_0014913.JPG,procyon lotor,54,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part2/sub278/FL-37_06_03_2016_FL-37_0014913.JPG,/Users/mihnea/Desktop/Proiecte personale/wildlife-camera-trap-classification/data/raw/images/part2/sub278/FL-37_06_03_2016_FL-37_0014913.JPG,raccoon
FL-38_01_23_2016_FL-38_0029910.JPG,part2/sub280/FL-38_01_23_2016_FL-38_0029910.JPG,sus scrofa,62,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part2/sub280/FL-38_01_23_2016_FL-38_0029910.JPG,/Users/mihnea/Desktop/Proiecte personale/wildlife-camera-trap-classification/data/raw/images/part2/sub280/FL-38_01_23_2016_FL-38_0029910.JPG,wild_boar
2014_Unit58_Ivan061_img0358.jpg,part0/sub015/2014_Unit58_Ivan061_img0358.jpg,cervus elaphus,10,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub015/2014_Unit58_Ivan061_img0358.jpg,/Users/mihnea/Desktop/Proiecte personale/wildlife-camera-trap-classification/data/raw/images/part0/sub015/2014_Unit58_Ivan061_img0358.jpg,red_deer
2014_Unit102_Ivan085_img0109.jpg,part0/sub010/2014_Unit102_Ivan085_img0109.jpg,cervus elaphus,10,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub010/2014_Unit102_Ivan085_img0109.jpg,/Users/mihnea/Desktop/Proiecte personale/wildlife-camera-trap-classification/data/raw/images/part0/sub010/2014_Unit102_Ivan085_img0109.jpg,red_deer
FL-16_12_06_2015_FL-16_0100496.jpg,part1/sub199/FL-16_12_06_2015_FL-16_0100496.jpg,procyon lotor,54,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part1/sub199/FL-16_12_06_2015_FL-16_0100496.jpg,/Users/mihnea/Desktop/Proiecte personale/wildlife-camera-trap-classification/data/raw/images/part1/sub199/FL-16_12_06_2015_FL-16_0100496.jpg,raccoon
2014_Unit74_Ivan095_img0165.jpg,part0/sub016/2014_Unit74_Ivan095_img0165.jpg,odocoileus hemionus,46,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub016/2014_Unit74_Ivan095_img0165.jpg,/Users/mihnea/Desktop/Proiecte personale/wildlife-camera-trap-classification/data/raw/images/part0/sub016/2014_Unit74_Ivan095_img0165.jpg,mule_deer
